x,y,timestamp,BSSID,RSSI
481.0,70.0,1746003067367,80:e8:6f:d7:7a:8f,-66
481.0,70.0,1746003067367,80:e8:6f:d7:90:cd,-81
481.0,70.0,1746003067367,a0:36:bc:46:22:14,-88
481.0,70.0,1746003067367,80:e8:6f:d7:90:ce,-81
481.0,70.0,1746003067367,58:86:94:0b:3c:20,-61
481.0,70.0,1746003067367,80:e8:6f:d7:90:cc,-80
481.0,70.0,1746003067367,80:e8:6f:d7:7a:8c,-66
481.0,70.0,1746003067367,80:e8:6f:d7:7a:8d,-66
481.0,70.0,1746003067367,80:e8:6f:d7:90:cf,-81
481.0,70.0,1746003067367,80:e8:6f:d7:7a:8e,-66
481.0,70.0,1746003067367,80:e8:6f:d7:7a:8a,-66
481.0,70.0,1746003067367,00:1c:85:0f:17:0c,-71
481.0,70.0,1746003067367,38:20:56:81:03:ee,-83
481.0,70.0,1746003067367,38:20:56:81:03:ef,-83
481.0,70.0,1746003067367,38:20:56:7e:de:85,-67
481.0,70.0,1746003067367,38:20:56:7e:de:83,-66
481.0,70.0,1746003067367,94:d4:69:fa:83:42,-61
481.0,70.0,1746003067367,94:d4:69:fa:83:43,-62
481.0,70.0,1746003067367,38:20:56:7e:de:82,-67
481.0,70.0,1746003067367,38:20:56:81:03:ea,-83
481.0,70.0,1746003067367,38:20:56:81:03:ec,-85
481.0,70.0,1746003067367,38:20:56:81:03:ed,-84
481.0,70.0,1746003067367,94:d4:69:fa:83:4d,-52
481.0,70.0,1746003067367,94:d4:69:fa:83:4e,-53
481.0,70.0,1746003067367,94:d4:69:fa:83:4f,-53
481.0,70.0,1746003067367,94:d4:69:fa:83:4a,-53
481.0,70.0,1746003067367,94:d4:69:fa:83:4c,-53
481.0,70.0,1746003067367,00:1c:85:0c:40:a0,-78
481.0,70.0,1746003067367,00:1c:85:0c:40:a3,-66
481.0,70.0,1746003067367,00:1c:85:0c:3d:98,-88
481.0,70.0,1746003067367,00:1c:85:0f:06:44,-73
481.0,70.0,1746003067367,88:57:1d:e2:dd:11,-79
481.0,70.0,1746003067367,fe:62:79:c8:f4:bb,-57
481.0,70.0,1746003067367,80:e8:6f:d7:7a:82,-59
481.0,70.0,1746003067367,80:e8:6f:d7:7a:83,-60
481.0,70.0,1746003067367,38:20:56:80:ff:6c,-74
481.0,70.0,1746003067367,38:20:56:85:ad:25,-75
481.0,70.0,1746003067367,fe:62:79:c8:f4:ba,-73
481.0,70.0,1746003067367,80:e8:6f:d8:bd:aa,-86
481.0,70.0,1746003067367,38:20:56:85:ad:22,-75
481.0,70.0,1746003067367,38:20:56:85:ad:23,-75
481.0,70.0,1746003067367,38:20:56:80:ff:6a,-75
