x,y,timestamp,BSSID,RSSI
515.0,867.0,1745903958565,00:1c:85:0c:3d:9b,-66
515.0,867.0,1745903958565,7a:7b:50:61:6e:6e,-69
515.0,867.0,1745903958565,80:e8:6f:d8:bd:a0,-56
515.0,867.0,1745903958565,58:86:94:15:d9:64,-60
515.0,867.0,1745903958565,80:e8:6f:d7:7a:8d,-85
515.0,867.0,1745903958565,80:e8:6f:d7:7a:8e,-84
515.0,867.0,1745903958565,80:e8:6f:d8:bd:a5,-57
515.0,867.0,1745903958565,38:20:56:81:03:8a,-66
515.0,867.0,1745903958565,80:e8:6f:d8:bd:a2,-59
515.0,867.0,1745903958565,80:e8:6f:d8:bd:a3,-56
515.0,867.0,1745903958565,38:20:56:81:03:8c,-65
515.0,867.0,1745903958565,38:20:56:81:03:8d,-65
515.0,867.0,1745903958565,38:20:56:81:03:8e,-65
515.0,867.0,1745903958565,38:20:56:81:03:8f,-65
515.0,867.0,1745903958565,94:d4:69:fa:83:45,-36
515.0,867.0,1745903958565,58:86:94:80:4e:9c,-77
515.0,867.0,1745903958565,38:20:56:7e:e0:ac,-82
515.0,867.0,1745903958565,94:d4:69:fa:83:40,-37
515.0,867.0,1745903958565,94:d4:69:fa:83:42,-37
515.0,867.0,1745903958565,94:d4:69:fa:83:43,-37
515.0,867.0,1745903958565,38:20:56:81:08:22,-71
515.0,867.0,1745903958565,38:20:56:81:08:25,-72
515.0,867.0,1745903958565,38:20:56:7e:e0:ad,-82
515.0,867.0,1745903958565,38:20:56:81:00:20,-81
515.0,867.0,1745903958565,94:d4:69:fa:83:4d,-37
515.0,867.0,1745903958565,94:d4:69:fa:83:4e,-37
515.0,867.0,1745903958565,94:d4:69:fa:83:4f,-37
515.0,867.0,1745903958565,94:d4:69:fa:83:4a,-38
515.0,867.0,1745903958565,94:d4:69:fa:83:4c,-39
515.0,867.0,1745903958565,80:e8:6f:d7:b8:4a,-82
515.0,867.0,1745903958565,00:1c:85:0f:06:44,-57
515.0,867.0,1745903958565,00:1c:85:0f:06:41,-63
515.0,867.0,1745903958565,38:20:56:80:ff:6c,-75
515.0,867.0,1745903958565,80:e8:6f:d8:bd:aa,-53
515.0,867.0,1745903958565,38:20:56:80:ff:6a,-77
515.0,867.0,1745903958565,38:20:56:80:ff:6f,-76
515.0,867.0,1745903958565,80:e8:6f:d8:bd:ad,-53
515.0,867.0,1745903958565,38:20:56:81:03:80,-63
515.0,867.0,1745903958565,80:e8:6f:d8:bd:ae,-53
515.0,867.0,1745903958565,38:20:56:80:ff:6d,-77
515.0,867.0,1745903958565,38:20:56:81:03:82,-63
515.0,867.0,1745903958565,80:e8:6f:d7:b8:4d,-80
515.0,867.0,1745903958565,38:20:56:80:ff:6e,-76
515.0,867.0,1745903958565,80:e8:6f:d8:bd:ac,-53
515.0,867.0,1745903958565,38:20:56:81:03:83,-62
515.0,867.0,1745903958565,80:e8:6f:d7:b8:4e,-80
515.0,867.0,1745903958565,38:20:56:81:03:85,-63
515.0,867.0,1745903958565,5a:86:94:cb:cf:40,-65
515.0,867.0,1745903958565,80:e8:6f:d8:bd:af,-53
515.0,867.0,1745903958565,68:7f:f0:00:f3:a6,-62
515.0,867.0,1745903958565,68:7f:f0:00:f3:a5,-65
515.0,867.0,1745903958565,38:20:56:85:ad:2a,-81
515.0,867.0,1745903958565,38:20:56:7e:de:8e,-75
515.0,867.0,1745903958565,68:7f:f0:00:f3:a7,-47
515.0,867.0,1745903958565,38:20:56:80:ff:62,-68
515.0,867.0,1745903958565,38:20:56:85:ad:2d,-81
515.0,867.0,1745903958565,38:20:56:7e:de:8d,-75
515.0,867.0,1745903958565,38:20:56:80:ff:63,-68
515.0,867.0,1745903958565,38:20:56:85:ad:2e,-82
515.0,867.0,1745903958565,38:20:56:85:ad:2c,-81
515.0,867.0,1745903958565,38:20:56:80:ff:65,-69
515.0,867.0,1745903958565,94:d4:69:fa:7e:ca,-51
515.0,867.0,1745903958565,94:d4:69:fa:7e:cf,-51
515.0,867.0,1745903958565,38:20:56:81:16:6a,-87
515.0,867.0,1745903958565,5a:86:94:45:d9:64,-74
515.0,867.0,1745903958565,38:20:56:81:16:6c,-87
515.0,867.0,1745903958565,94:d4:69:fa:7e:cc,-51
515.0,867.0,1745903958565,00:1c:85:0f:16:bc,-62
515.0,867.0,1745903958565,38:20:56:81:16:6d,-87
515.0,867.0,1745903958565,38:20:56:81:16:6e,-86
515.0,867.0,1745903958565,94:d4:69:fa:7e:ce,-51
515.0,867.0,1745903958565,38:20:56:81:16:6f,-87
515.0,867.0,1745903958565,94:d4:69:fa:7e:cd,-51
515.0,867.0,1745903958565,94:d4:69:fa:7e:c0,-56
515.0,867.0,1745903958565,38:20:56:81:08:2a,-67
515.0,867.0,1745903958565,38:20:56:81:00:2d,-81
515.0,867.0,1745903958565,38:20:56:81:00:2c,-80
515.0,867.0,1745903958565,94:d4:69:fa:7e:c3,-56
515.0,867.0,1745903958565,38:20:56:81:08:2e,-67
515.0,867.0,1745903958565,42:49:b9:c3:d9:e0,-72
515.0,867.0,1745903958565,94:d4:69:fa:7e:c2,-57
515.0,867.0,1745903958565,38:20:56:81:08:2f,-67
515.0,867.0,1745903958565,38:20:56:81:00:2a,-80
515.0,867.0,1745903958565,38:20:56:81:04:6c,-83
515.0,867.0,1745903958565,94:d4:69:fa:7e:c5,-57
515.0,867.0,1745903958565,38:20:56:81:08:2c,-67
515.0,867.0,1745903958565,38:20:56:81:08:2d,-67
515.0,867.0,1745903958565,38:20:56:85:ad:2f,-81
515.0,867.0,1745903958565,38:20:56:81:13:4c,-86
515.0,867.0,1745903958565,38:20:56:81:13:4d,-84
515.0,867.0,1745903966668,38:20:56:85:ad:8f,-84
515.0,867.0,1745903966668,38:20:56:85:ad:8d,-85
515.0,867.0,1745903966668,38:20:56:85:ad:8e,-84
515.0,867.0,1745903966668,58:86:94:15:d9:64,-60
515.0,867.0,1745903966668,94:d4:69:fa:7e:ea,-83
515.0,867.0,1745903966668,38:20:56:81:03:ee,-85
515.0,867.0,1745903966668,94:d4:69:fa:83:45,-41
515.0,867.0,1745903966668,38:20:56:81:03:ef,-85
515.0,867.0,1745903966668,94:d4:69:fa:7e:ec,-84
515.0,867.0,1745903966668,94:d4:69:fa:83:40,-38
515.0,867.0,1745903966668,94:d4:69:fa:83:42,-40
515.0,867.0,1745903966668,94:d4:69:fa:83:43,-39
515.0,867.0,1745903966668,94:d4:69:fa:7e:ee,-84
515.0,867.0,1745903966668,94:d4:69:fa:7e:ed,-84
515.0,867.0,1745903966668,38:20:56:81:03:ec,-84
515.0,867.0,1745903966668,94:d4:69:fa:7e:ef,-84
515.0,867.0,1745903966668,38:20:56:81:03:ed,-85
515.0,867.0,1745903966668,94:d4:69:fa:83:4d,-39
515.0,867.0,1745903966668,94:d4:69:fa:83:4e,-39
515.0,867.0,1745903966668,94:d4:69:fa:83:4f,-39
515.0,867.0,1745903966668,94:d4:69:fa:83:4a,-38
515.0,867.0,1745903966668,94:d4:69:fa:83:4c,-39
515.0,867.0,1745903966668,00:1c:85:0c:40:a3,-65
515.0,867.0,1745903966668,00:1c:85:0f:06:44,-58
515.0,867.0,1745903966668,38:20:56:85:ad:20,-85
515.0,867.0,1745903966668,00:1c:85:0f:06:41,-62
515.0,867.0,1745903966668,38:20:56:80:ff:6c,-67
515.0,867.0,1745903966668,38:20:56:85:ad:22,-83
515.0,867.0,1745903966668,38:20:56:80:ff:6a,-67
515.0,867.0,1745903966668,38:20:56:80:ff:6f,-66
515.0,867.0,1745903966668,60:29:d5:1c:e1:50,-74
515.0,867.0,1745903966668,38:20:56:80:ff:6d,-67
515.0,867.0,1745903966668,38:20:56:80:ff:6e,-67
515.0,867.0,1745903966668,38:20:56:7e:de:8e,-73
515.0,867.0,1745903966668,38:20:56:7e:de:8f,-73
515.0,867.0,1745903966668,38:20:56:7e:de:8a,-73
515.0,867.0,1745903966668,38:20:56:81:03:e3,-81
515.0,867.0,1745903966668,94:d4:69:fa:7e:ca,-54
515.0,867.0,1745903966668,94:d4:69:fa:7e:cf,-55
515.0,867.0,1745903966668,94:d4:69:fa:7e:cc,-56
515.0,867.0,1745903966668,00:1c:85:0f:16:bc,-69
