x,y,timestamp,BSSID,RSSI
709.7891,628.1703,1746010369968,38:20:56:85:ad:8f,-28
709.7891,628.1703,1746010369968,80:e8:6f:d8:93:6a,-82
709.7891,628.1703,1746010369968,38:20:56:85:ad:8d,-27
709.7891,628.1703,1746010369968,38:20:56:85:ad:8e,-27
709.7891,628.1703,1746010369968,80:e8:6f:d8:93:6e,-82
709.7891,628.1703,1746010369968,80:e8:6f:d8:93:6f,-82
709.7891,628.1703,1746010369968,80:e8:6f:d8:93:6c,-83
709.7891,628.1703,1746010369968,80:e8:6f:d8:93:6d,-82
709.7891,628.1703,1746010369968,38:20:56:85:ad:8c,-28
709.7891,628.1703,1746010369968,38:20:56:85:ad:8a,-27
709.7891,628.1703,1746010369968,38:20:56:7e:e0:aa,-65
709.7891,628.1703,1746010369968,00:1c:85:0f:06:54,-72
709.7891,628.1703,1746010369968,38:20:56:7e:e0:ac,-65
709.7891,628.1703,1746010369968,94:d4:69:fa:83:43,-86
709.7891,628.1703,1746010369968,38:20:56:81:08:22,-71
709.7891,628.1703,1746010369968,38:20:56:81:08:20,-70
709.7891,628.1703,1746010369968,38:20:56:7e:e0:ae,-65
709.7891,628.1703,1746010369968,38:20:56:81:08:25,-70
709.7891,628.1703,1746010369968,38:20:56:7e:e0:ad,-65
709.7891,628.1703,1746010369968,38:20:56:81:08:23,-70
709.7891,628.1703,1746010369968,38:20:56:7e:e0:af,-65
709.7891,628.1703,1746010369968,38:20:56:81:16:60,-72
709.7891,628.1703,1746010369968,38:20:56:81:16:62,-72
709.7891,628.1703,1746010369968,88:36:6c:d6:02:4f,-93
709.7891,628.1703,1746010369968,38:20:56:81:16:63,-73
709.7891,628.1703,1746010369968,38:20:56:81:16:65,-73
709.7891,628.1703,1746010369968,cc:46:d6:24:57:60,-79
709.7891,628.1703,1746010369968,cc:46:d6:24:57:62,-79
709.7891,628.1703,1746010369968,cc:46:d6:24:57:63,-78
709.7891,628.1703,1746010369968,06:09:a5:0c:7e:e2,-86
709.7891,628.1703,1746010369968,cc:46:d6:24:57:65,-77
709.7891,628.1703,1746010369968,82:5b:65:12:3e:90,-80
709.7891,628.1703,1746010369968,38:20:56:7e:de:8e,-87
709.7891,628.1703,1746010369968,38:20:56:7e:de:8f,-86
709.7891,628.1703,1746010369968,38:20:56:7e:de:8c,-88
709.7891,628.1703,1746010369968,70:5d:cc:d4:0b:a3,-86
709.7891,628.1703,1746010369968,38:20:56:7e:de:8d,-86
709.7891,628.1703,1746010369968,cc:46:d6:24:57:6a,-81
709.7891,628.1703,1746010369968,38:20:56:7e:de:8a,-87
709.7891,628.1703,1746010369968,cc:46:d6:24:57:6c,-81
709.7891,628.1703,1746010369968,72:5d:cc:41:bd:d4,-85
709.7891,628.1703,1746010369968,cc:46:d6:24:57:6d,-80
709.7891,628.1703,1746010369968,cc:46:d6:24:57:6e,-81
709.7891,628.1703,1746010369968,cc:46:d6:24:57:6f,-81
709.7891,628.1703,1746010369968,88:36:6c:e4:a6:32,-81
709.7891,628.1703,1746010369968,38:20:56:81:16:6a,-61
709.7891,628.1703,1746010369968,38:20:56:81:16:6c,-61
709.7891,628.1703,1746010369968,38:20:56:81:16:6d,-61
709.7891,628.1703,1746010369968,38:20:56:81:16:6e,-61
709.7891,628.1703,1746010369968,38:20:56:81:16:6f,-61
709.7891,628.1703,1746010369968,38:20:56:7e:e0:a3,-82
709.7891,628.1703,1746010369968,38:20:56:7e:e0:a2,-82
709.7891,628.1703,1746010369968,00:1c:85:0c:3e:08,-89
709.7891,628.1703,1746010369968,38:20:56:81:08:2a,-71
709.7891,628.1703,1746010369968,38:20:56:81:08:2e,-71
709.7891,628.1703,1746010369968,38:20:56:81:08:2f,-71
709.7891,628.1703,1746010369968,38:20:56:81:08:2c,-71
709.7891,628.1703,1746010369968,38:20:56:81:08:2d,-71
709.7891,628.1703,1746010369968,38:20:56:85:ad:85,-39
709.7891,628.1703,1746010369968,00:6b:f1:21:a0:52,-81
709.7891,628.1703,1746010369968,58:86:94:52:54:b8,-64
709.7891,628.1703,1746010369968,38:20:56:85:ad:82,-39
709.7891,628.1703,1746010369968,38:20:56:85:ad:83,-39
709.7891,628.1703,1746010369968,00:6b:f1:21:a0:50,-81
709.7891,628.1703,1746010369968,38:20:56:85:ad:80,-39
840.65063,662.13574,1746010376837,38:20:56:85:ad:8f,-29
840.65063,662.13574,1746010376837,80:e8:6f:d8:93:6a,-75
840.65063,662.13574,1746010376837,38:20:56:85:ad:8d,-34
840.65063,662.13574,1746010376837,5a:86:94:43:9f:28,-84
840.65063,662.13574,1746010376837,38:20:56:85:ad:8e,-35
840.65063,662.13574,1746010376837,80:e8:6f:d8:93:6e,-75
840.65063,662.13574,1746010376837,80:e8:6f:d8:93:6f,-74
840.65063,662.13574,1746010376837,80:e8:6f:d8:93:6c,-75
840.65063,662.13574,1746010376837,80:e8:6f:d8:93:6d,-75
840.65063,662.13574,1746010376837,46:27:45:68:55:62,-78
840.65063,662.13574,1746010376837,38:20:56:85:ad:8c,-36
840.65063,662.13574,1746010376837,38:20:56:85:ad:8a,-34
840.65063,662.13574,1746010376837,38:20:56:7e:e0:aa,-70
840.65063,662.13574,1746010376837,00:1c:85:0f:06:54,-72
840.65063,662.13574,1746010376837,38:20:56:7e:e0:ac,-70
840.65063,662.13574,1746010376837,38:20:56:81:08:22,-69
840.65063,662.13574,1746010376837,38:20:56:81:08:20,-68
840.65063,662.13574,1746010376837,38:20:56:7e:e0:ae,-70
840.65063,662.13574,1746010376837,38:20:56:81:08:25,-70
840.65063,662.13574,1746010376837,38:20:56:7e:e0:ad,-71
840.65063,662.13574,1746010376837,38:20:56:81:08:23,-69
840.65063,662.13574,1746010376837,38:20:56:7e:e0:af,-71
840.65063,662.13574,1746010376837,94:d4:69:fa:83:4d,-86
840.65063,662.13574,1746010376837,00:eb:d8:ba:06:48,-56
840.65063,662.13574,1746010376837,94:d4:69:fa:83:4e,-85
